i,decision_date,entry_date,exit_date,candidate,long_symbols,short_symbols,gross_unit_return,eligible_count,net_return,before,after,log
415,2023-10-09,2023-10-10,2023-10-13,drawdown_recovery_k1,"[""MAVUSDT""]","[""XVSUSDT""]",0.10136709083625495,15,0.022591772709063734,0.8267749720388525,0.8454532842886967,0.022340358167934792
416,2023-10-12,2023-10-13,2023-10-16,drawdown_recovery_k1,"[""MAVUSDT""]","[""1000FLOKIUSDT""]",-0.014897717283968381,14,-0.006474429320992095,0.8454532842886967,0.8399794567553689,-0.0064954793456305695
417,2023-10-15,2023-10-16,2023-10-19,drawdown_recovery_k1,"[""MAVUSDT""]","[""1000FLOKIUSDT""]",-0.09190148226674855,14,-0.02572537056668714,0.8399794567553689,0.8183706739619325,-0.02606205467915408
418,2023-10-18,2023-10-19,2023-10-22,drawdown_recovery_k1,"[""MAVUSDT""]","[""BLURUSDT""]",0.12000709810465437,14,0.02725177452616359,0.8183706739619325,0.8406727270475677,0.02688705623295751
419,2023-10-21,2023-10-22,2023-10-25,drawdown_recovery_k1,"[""MAVUSDT""]","[""1000FLOKIUSDT""]",0.03828308526275359,14,0.006820771315688397,0.8406727270475677,0.8464067634700954,0.006797615090927468
420,2023-10-24,2023-10-25,2023-10-28,drawdown_recovery_k1,"[""MAVUSDT""]","[""BLURUSDT""]",-0.06925080181302523,15,-0.02006270045325631,0.8464067634700954,0.8294255581129847,-0.020266689418673604
421,2023-10-27,2023-10-28,2023-10-31,drawdown_recovery_k1,"[""MAVUSDT""]","[""EDUUSDT""]",-0.010209117266053891,17,-0.005302279316513473,0.8294255581129847,0.8250277121316145,-0.0053163862876523665
422,2023-10-30,2023-10-31,2023-11-03,drawdown_recovery_k1,"[""AGLDUSDT""]","[""IDEXUSDT""]",0.013436620892798734,16,0.0006091552231996835,0.8250277121316145,0.825530282071744,0.0006089697634687536
423,2023-11-02,2023-11-03,2023-11-06,drawdown_recovery_k1,"[""1000FLOKIUSDT""]","[""UMAUSDT""]",-0.031346347542550834,13,-0.010586586885637711,0.825530282071744,0.8167907340138664,-0.010643023463803225
424,2023-11-05,2023-11-06,2023-11-09,drawdown_recovery_k1,"[""AGLDUSDT""]","[""NMRUSDT""]",-0.03284228541695555,13,-0.01096057135423889,0.8167907340138664,0.8078382408922262,-0.011021080969306186
425,2023-11-08,2023-11-09,2023-11-12,drawdown_recovery_k1,"[""AGLDUSDT""]","[""BNTUSDT""]",-0.5544885539198088,13,-0.1413721384799522,0.8078382408922262,0.6936324212314094,-0.1524196737763435
426,2023-11-11,2023-11-12,2023-11-15,drawdown_recovery_k1,"[""AGLDUSDT""]","[""ARKMUSDT""]",-0.1894337598732181,14,-0.050108439968304525,0.6936324212314094,0.6588755826920657,-0.051407448237910755
427,2023-11-14,2023-11-15,2023-11-18,drawdown_recovery_k1,"[""BNTUSDT""]","[""ARKMUSDT""]",0.07123140671811523,14,0.015057851679528805,0.6588755826920657,0.6687968334915059,0.014945607598098617
428,2023-11-17,2023-11-18,2023-11-21,drawdown_recovery_k1,"[""BNTUSDT""]","[""MDTUSDT""]",-0.0759477989668349,15,-0.021736949741708728,0.6687968334915059,0.6542592303344871,-0.021976677568339806
429,2023-11-20,2023-11-21,2023-11-24,drawdown_recovery_k1,"[""BNTUSDT""]","[""NMRUSDT""]",0.03753523160097516,16,0.0066338079002437895,0.6542592303344871,0.6585994603854873,0.006611901027236059
430,2023-11-23,2023-11-24,2023-11-27,drawdown_recovery_k1,"[""BNTUSDT""]","[""MDTUSDT""]",-0.26910636883237227,15,-0.07002659220809307,0.6585994603854873,0.6124799845446027,-0.07259928701578806
431,2023-11-26,2023-11-27,2023-11-30,drawdown_recovery_k1,"[""BNTUSDT""]","[""MDTUSDT""]",0.07395312967609757,15,0.01573828241902439,0.6124799845446027,0.6221193675173654,0.015615719928463076
432,2023-11-29,2023-11-30,2023-12-03,drawdown_recovery_k1,"[""BNTUSDT""]","[""DODOXUSDT""]",0.1156578315886041,15,0.026164457897151022,0.6221193675173654,0.6383967835157757,0.02582802425155289
433,2023-12-02,2023-12-03,2023-12-06,drawdown_recovery_k1,"[""BNTUSDT""]","[""ARKMUSDT""]",0.014535179518793462,14,0.0008837948796983654,0.6383967835157757,0.6389609953242629,0.0008834045629601438
434,2023-12-05,2023-12-06,2023-12-09,drawdown_recovery_k1,"[""BNTUSDT""]","[""AGLDUSDT""]",0.21294691032235202,14,0.050486727580588,0.6389609953242629,0.6712200450298204,0.04925360684003648
435,2023-12-08,2023-12-09,2023-12-12,drawdown_recovery_k1,"[""BNTUSDT""]","[""ARKMUSDT""]",0.02956947171708557,14,0.004642367929271393,0.6712200450298204,0.6743360954403509,0.004631625373709139
